이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
디센트 : 어둠속의 여정 (2판)|Descent: Journeys in the Dark (Second Edition)|2012|wys2/swf_upload/2022/01/14/164216945982040_lg_N_80x80_100_5_.jpg|7.404|8.53|Thematic Games|Adventure,Exploration,Fantasy,Fighting,Miniatures|Action Points,Cooperative Game,Dice Rolling,Grid Movement,Hand Management,Line of Sight,Map Addition,Modular Board,Movement Points,Multiple Maps,Scenario / Mission / Campaign Game,Stat Check Resolution,Team-Based Game,Variable Player Powers|104162|1|5|120|120|120|14|3.2079
스탁파일|Stockpile|2015|wys2/swf_upload/2022/02/09/1644340226657459_lg_N_80x80_100_5_.jpg|7.412|7.78|Strategy Games|Economic|Auction/Bidding,Auction: Fixed Placement,Commodity Speculation,Constrained Bidding,Investment,Market,Open Drafting,Stock Holding,Victory Points as a Resource|161614|2|5|45|45|45|13|2.1136
코드네임|Codenames|2015|wys2/swf_upload/2022/01/31/164356810346560_lg_N_80x80_100_5_.jpg|7.396|7.57|Party Games|Card Game,Deduction,Party Game,Spies/Secret Agents,Word Game|Communication Limits,Memory,Push Your Luck,Team-Based Game|178900|2|8|15|15|15|14|1.2742
트루아|Troyes|2010|wys2/swf_upload/2022/02/20/1645289631987801_lg_N_80x80_100_5_.jpg|7.392|7.87|Strategy Games|Dice,Economic,Medieval|Area Majority / Influence,Dice Rolling,End Game Bonuses,Hidden Victory Points,Income,Ownership,Set Collection,Solo / Solitaire Game,Turn Order: Progressive,Variable Set-up,Worker Placement with Dice Workers,Worker Placement, Different Worker Types|73439|1|4|90|90|90|12|3.465
레이스 포 더 갤럭시|Race for the Galaxy|2007|wys2/swf_upload/2022/06/03/1654190373398977_lg_N_80x80_100_5_.png|7.376|7.66|Strategy Games|Card Game,Civilization,Economic,Science Fiction,Space Exploration|Action Drafting,Follow,Hand Management,Set Collection,Simultaneous Action Selection,Turn Order: Role Order,Variable Phase Order,Variable Player Powers|28143|2|4|60|30|60|12|2.9884
화이트채플에서 온 편지|Letters from Whitechapel|2011|data/boardgame_strategy/2021/02/03/1612346275-323237_N_80x80_100_5_.jpg|7.335|7.41|Strategy Games|Bluffing,Deduction,Murder/Mystery,Post-Napoleonic|Hidden Movement,Memory,Point to Point Movement,Secret Unit Deployment,Team-Based Game|59959|2|6|90|90|90|14|2.6498
크베들린부르크의 돌팔이 약장수|The Quacks of Quedlinburg|2018|data/boardgame_strategy/2021/01/25/1611516824-522927_N_80x80_100_5_.png|7.390|7.62|Family Games|Medieval|Catch the Leader,Deck, Bag, and Pool Building,Delayed Purchase,Dice Rolling,Events,Market,Push Your Luck,Variable Set-up|244521|2|4|45|45|45|10|1.9459
왕좌의 게임 (2판)|A Game of Thrones: The Board Game (Second Edition)|2011|data/boardgame_strategy/2021/02/09/1612859046-710503_N_80x80_100_5_.jpg|7.382|7.85|Strategy Games|Bluffing,Fantasy,Negotiation,Novel-based,Political,Wargame|Area Majority / Influence,Area Movement,Auction/Bidding,Auction: Sealed Bid,Card Play Conflict Resolution,Hand Management,Order Counters,Player Elimination,Prisoner's Dilemma,Simultaneous Action Selection,Variable Player Powers|103343|3|6|240|120|240|14|3.7274
카탄의 개척자|CATAN|1995|data/boardgame_strategy/2021/02/03/1612346505-465859_N_80x80_100_5_.jpg|7.323|7.42|Family Games|Economic,Negotiation|Dice Rolling,Hexagon Grid,Income,Modular Board,Network and Route Building,Race,Random Production,Trading,Variable Set-up|13|3|4|120|60|120|10|2.307
네이션스|Nations|2013|data/boardgame_strategy/2022/01/02/1641106237-816591_N_80x80_100_5_.png|7.339|8.24|Strategy Games|Card Game,Civilization,Economic|Events,Open Drafting,Turn Order: Pass Order,Variable Player Powers|126042|1|5|200|40|200|14|3.5434
루트|Root|2018|wys2/swf_upload/2022/05/23/1653309124252399_lg_N_80x80_100_5_.png|7.325|7.80|Strategy Games|Animals,Fantasy,Wargame|Action Queue,Action Retrieval,Area Majority / Influence,Area Movement,Dice Rolling,Hand Management,Point to Point Movement,Race,Sudden Death Ending,Variable Player Powers,Variable Set-up|237182|2|4|90|60|90|10|3.7493
바둑|Go|0|data/boardgame_strategy/2013/11/10/1384089073-857561_N_80x80_100_5_.jpg|7.396|8.31|Abstract Strategy Games|Abstract Strategy|Enclosure,Square Grid|188|2|2|180|30|180|8|3.9375
롤 포 더 갤럭시|Roll for the Galaxy|2013|data/boardgame_strategy/2021/02/09/1612857859-326618_N_80x80_100_5_.jpg|7.371|7.74|Strategy Games|Civilization,Dice,Economic,Science Fiction,Space Exploration|Action Retrieval,Contracts,Deck, Bag, and Pool Building,Dice Rolling,Follow,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers,Worker Placement with Dice Workers|132531|2|5|45|45|45|13|2.7758
티칼|Tikal|1999|data/boardgame_strategy/2021/01/25/1611516638-786996_N_80x80_100_5_.jpg|7.366|7.75|Strategy Games|Exploration,Territory Building|Action Points,Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid,Layering,Map Addition,Modular Board,Set Collection,Tile Placement|54|2|4|90|90|90|10|2.7876
카르카손|Carcassonne|2000|data/boardgame_strategy/2022/01/02/1641106324-75566_N_80x80_100_5_.png|7.321|7.45|Family Games|City Building,Medieval,Territory Building|Area Majority / Influence,Map Addition,Tile Placement|822|2|5|45|30|45|7|1.9021
디셉션: 홍콩 살인사건|Deception: Murder in Hong Kong|2014|wys2/swf_upload/2022/02/13/1644739370727473_lg_N_80x80_100_5_.jpg|7.359|7.60|Party Games|Bluffing,Deduction,Murder/Mystery,Party Game|Communication Limits,Deduction,Events,Finale Ending,Hidden Roles,Storytelling,Team-Based Game,Traitor Game,Variable Set-up|156129|4|12|20|20|20|14|1.586
타임 스토리즈|T.I.M.E Stories|2015|wys2/swf_upload/2022/09/14/1663159406489489_lg_N_80x80_100_5_.jpg|7.325|7.61|Thematic Games|Adventure,Arabian,Puzzle,Science Fiction|Cooperative Game,Dice Rolling,Move Through Deck,Narrative Choice / Paragraph,Storytelling,Variable Player Powers|146508|2|4|90|90|90|12|2.5975
어콰이어|Acquire|1999|wys2/swf_upload/2022/01/15/1642177816455992_lg_N_80x80_100_5_.jpg|7.380|7.92|Strategy Games|Economic,Territory Building|Hand Management,Investment,Market,Square Grid,Stock Holding,Tile Placement,Victory Points as a Resource|5|2|6|90|90|90|12|2.5012
태양신 라|Ra|1999|wys2/swf_upload/2022/01/15/1642178217594563_lg_N_80x80_100_5_.jpg|7.359|7.61|Strategy Games|Ancient,Mythology|Auction/Bidding,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck,Set Collection|12|2|5|60|45|60|12|2.3466
세키가하라 : 일본의 통일|Sekigahara: The Unification of Japan|2011|data/boardgame_strategy/2022/01/02/1641106041-78433_N_80x80_100_5_.jpg|7.272|7.76|Wargames|Civil War,Pike and Shot,Wargame|Action Points,Card Play Conflict Resolution,Force Commitment,Hand Management,Point to Point Movement,Secret Unit Deployment,Turn Order: Auction,Variable Set-up|25021|2|2|180|180|180|14|2.804
인쉬|YINSH|2003|data/boardgame_strategy/2022/01/02/1641106493-140845_N_80x80_100_5_.png|7.350|7.63|Abstract Strategy Games|Abstract Strategy|Catch the Leader,Grid Movement,Pattern Building|7854|2|2|60|30|60|9|2.6758
상트 페테르부르크 (2판)|Saint Petersburg (Second Edition)|2014|data/boardgame_strategy/2022/01/02/1641106530-171030_N_80x80_100_5_.png|7.343|7.74|Strategy Games|Age of Reason,Card Game,City Building,Economic|Income,Open Drafting,Set Collection|156943|2|5|60|60|60|13|2.6552
트릭케리언: 레전드 오브 일루전|Trickerion: Legends of Illusion|2014|wys2/swf_upload/2022/01/15/1642180458043968_lg_N_80x80_100_5_.png|7.332|8.08|Strategy Games|Post-Napoleonic|Action Points,Action Queue,Catch the Leader,Dice Rolling,Simultaneous Action Selection,Tile Placement,Turn Order: Stat-Based,Worker Placement,Worker Placement, Different Worker Types|163068|2|4|180|60|180|14|4.2392
광기의 저택|Mansions of Madness|2011|data/boardgame_strategy/2013/06/12/1370969992-561851_N_80x80_100_5_.jpg|7.341|8.21|Thematic Games|Adventure,Exploration,Fantasy,Fighting,Horror,Miniatures,Murder/Mystery,Puzzle|Area Movement,Dice Rolling,Hand Management,Modular Board,Pick-up and Deliver,Role Playing,Scenario / Mission / Campaign Game,Team-Based Game,Variable Player Powers|83330|2|5|180|120|180|13|3.2429
좀비사이드|Zombicide|2012|wys2/swf_upload/2022/03/25/1648219272842717_lg_N_80x80_100_5_.jpg|7.187|7.42|Thematic Games|Fighting,Horror,Miniatures,Zombies|Action Points,Cooperative Game,Dice Rolling,Grid Movement,Hand Management,Modular Board,Player Elimination,Scenario / Mission / Campaign Game,Variable Player Powers|113924|1|6|60|60|60|14|2.5397
반지의 제왕: 대결|Lord of the Rings: The Confrontation|2006|data/boardgame_strategy/2021/02/17/1613554957-485283_N_80x80_100_5_.jpg|7.331|7.63|Strategy Games|Adventure,Bluffing,Deduction,Fantasy,Movies / TV / Radio theme,Novel-based|Area Movement,Card Play Conflict Resolution,Hand Management,Secret Unit Deployment,Simultaneous Action Selection,Variable Player Powers|18833|2|2|30|30|30|14|2.1978
티그리스 유프라테스|Tigris & Euphrates|1997|wys2/swf_upload/2022/01/15/1642180754174076_lg_N_80x80_100_5_.jpg|7.328|7.84|Strategy Games|Ancient,Civilization,Territory Building|Area Majority / Influence,Connections,Hand Management,Highest-Lowest Scoring,Income,Set Collection,Square Grid,Tile Placement|42|2|4|90|90|90|12|3.5037
에버델|Everdell|2018|data/boardgame_strategy/2021/03/09/1615275807-288666_N_80x80_100_5_.jpg|7.304|7.93|Strategy Games|Animals,Card Game,City Building,Fantasy|Contracts,End Game Bonuses,Hand Management,Income,Open Drafting,Ownership,Set Collection,Solo / Solitaire Game,Variable Set-up,Worker Placement|199792|1|4|80|40|80|13|2.808
루트비히의 성|Castles of Mad King Ludwig|2014|data/boardgame_strategy/2021/02/03/1612345986-688645_N_80x80_100_5_.jpg|7.306|7.49|Strategy Games|Post-Napoleonic,Puzzle|Auction: Dutch,End Game Bonuses,Hidden Victory Points,I Cut, You Choose,Pattern Building,Set Collection,Tile Placement,Turn Order: Progressive|155426|1|4|90|90|90|13|2.6547
팬데믹|Pandemic|2008|wys2/swf_upload/2022/01/29/16434381802314_lg_N_80x80_100_5_.jpg|7.265|7.37|Strategy Games|Medical|Action Points,Cooperative Game,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers|30549|2|4|45|45|45|8|2.4054
이클립스|Eclipse|2011|wys2/swf_upload/2022/01/12/1641921789064775_lg_N_80x80_100_5_.jpg|7.318|7.93|Strategy Games|Civilization,Fighting,Science Fiction,Space Exploration,Wargame|Area Majority / Influence,Dice Rolling,Grid Movement,Hexagon Grid,Map Addition,Modular Board,Player Elimination,Tile Placement,Variable Phase Order,Variable Player Powers|72125|2|6|180|60|180|14|3.7012
에이언즈 엔드 한국어판|Aeon's End|2019|wys2/swf_upload/2022/08/22/1661169986716749_lg_N_80x80_100_5_.png|7.309|8.08|Strategy Games|Card Game,Fantasy,Fighting,Science Fiction|Chit-Pull System,Cooperative Game,Deck, Bag, and Pool Building,Delayed Purchase,Hand Management,Open Drafting,Solo / Solitaire Game,Variable Phase Order,Variable Player Powers,Variable Set-up|191189|1|4|60|60|60|14|2.7921
워터딥의 군주들|Lords of Waterdeep|2012|wys2/swf_upload/2022/01/12/1641921890144437_lg_N_80x80_100_5_.jpg|7.243|7.53|Strategy Games|City Building,Fantasy|Contracts,Hidden Roles,Increase Value of Unchosen Resources,Ownership,Set Collection,Take That,Turn Order: Claim Action,Worker Placement|110327|2|5|120|60|120|12|2.4555
아컴 호러|Arkham Horror|2005|data/boardgame_strategy/2021/02/09/1612856169-771940_N_80x80_100_5_.jpg|7.245|7.41|Thematic Games|Adventure,Fighting,Horror,Novel-based|Cooperative Game,Dice Rolling,Events,Finale Ending,Hand Management,Lose a Turn,Point to Point Movement,Role Playing,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers|15987|1|8|240|120|240|14|3.5793
위대한 달무티|The Great Dalmuti|1995|wys2/swf_upload/2022/01/12/164192202871398_lg_N_80x80_100_5_.png|7.279|7.33|Party Games|Card Game,Medieval|Hand Management,Ladder Climbing|929|4|8|60|60|60|8|1.2923
딕싯|Dixit|2008|data/boardgame_strategy/2021/02/08/1612776654-58068_N_80x80_100_5_.jpg|7.262|7.37|Party Games|Card Game,Humor,Party Game|Race,Simultaneous Action Selection,Storytelling,Targeted Clues,Voting|39856|3|6|30|30|30|8|1.2064
리스보아|Lisboa|2016|wys2/swf_upload/2022/01/12/1641922090074952_lg_N_80x80_100_5_.jpg|7.260|8.00|Strategy Games|City Building,Economic,Industry / Manufacturing,Political|Area Majority / Influence,Hand Management,Open Drafting,Solo / Solitaire Game,Tile Placement|161533|1|4|120|60|120|12|4.5743
차이나타운|Chinatown|1999|wys2/swf_upload/2022/01/12/1641922148599962_lg_N_80x80_100_5_.png|7.277|7.59|Strategy Games|City Building,Economic,Negotiation|Enclosure,Income,Investment,Negotiation,Set Collection,Tile Placement,Trading,Victory Points as a Resource|47|3|5|60|60|60|12|2.2578
스컬킹|Skull King|2018|wys2/swf_upload/2022/02/12/1644662190934770_lg_N_80x80_100_5_.jpg|7.298|8.03|Family Games|Card Game,Nautical,Pirates|Predictive Bid,Trick-taking|150145|2|8|30|30|30|8|1.6871
아를의 평원|Fields of Arle|2014|wys2/swf_upload/2022/01/12/1641922221263194_lg_N_80x80_100_5_.png|7.260|7.86|Strategy Games|Economic,Farming,Industry / Manufacturing|Automatic Resource Growth,Highest-Lowest Scoring,Income,Set Collection,Solo / Solitaire Game,Turn Order: Claim Action,Turn Order: Progressive,Worker Placement|159675|1|2|120|60|120|13|3.8664
오를레앙 디럭스 에디션|Orléans: Deluxe Edition|2015|wys2/swf_upload/2022/01/12/1641922274333156_lg_N_80x80_100_5_.png|7.288|8.32|Strategy Games|Medieval,Religious,Travel|Deck, Bag, and Pool Building,Open Drafting,Point to Point Movement|171905|2|5|90|90|90|12|3.0725
브룸 서비스|Broom Service|2015|wys2/swf_upload/2022/01/12/1641922336056316_lg_N_80x80_100_5_.jpg|7.272|7.53|Family Games|Fantasy|Area Movement,Follow,Hand Management,Pick-up and Deliver,Set Collection,Simultaneous Action Selection,Variable Phase Order|172308|2|5|75|30|75|10|2.4028
아줄|Azul|2017|data/boardgame_strategy/2021/03/18/1616026481-610481_N_80x80_100_5_.jpg|7.259|7.45|Abstract Strategy Games|Abstract Strategy,Puzzle,Renaissance|End Game Bonuses,Open Drafting,Pattern Building,Tile Placement,Turn Order: Claim Action|230802|2|4|45|30|45|8|1.7629
코임브라|Coimbra|2018|wys2/swf_upload/2022/02/13/1644738911431325_lg_N_80x80_100_5_.jpg|7.272|7.73|Strategy Games|Dice,Renaissance|Action Drafting,Auction/Bidding,Dice Rolling,End Game Bonuses,Income,Open Drafting,Point to Point Movement,Set Collection,Tech Trees / Tech Tracks,Turn Order: Stat-Based,Variable Set-up,Worker Placement with Dice Workers|245638|2|4|90|60|90|14|3.2643
디크립토|Decrypto|2018|wys2/swf_upload/2022/02/24/1645642525686075_lg_N_80x80_100_5_.jpg|7.286|7.69|Party Games|Bluffing,Deduction,Party Game,Spies/Secret Agents,Word Game|Communication Limits,Targeted Clues,Team-Based Game|225694|3|8|45|15|45|12|1.7786
왓슨 & 홈즈|Watson & Holmes|2015|data/boardgame_strategy/2021/02/16/1613461798-290537_N_80x80_100_5_.jpg|7.258|7.58|Thematic Games|Bluffing,Deduction,Murder/Mystery,Novel-based|Auction/Bidding,Modular Board,Player Elimination,Simultaneous Action Selection,Variable Player Powers|182694|2|7|75|45|75|12|2.1633
패스파인더 어드벤쳐 카드 게임: 룬로드의 부활 - 기본 세트|Pathfinder Adventure Card Game: Rise of the Runelords – Base Set|2013|wys2/swf_upload/2022/01/12/1641922559755210_lg_N_80x80_100_5_.jpg|7.222|8.25|Thematic Games|Adventure,Card Game,Fantasy,Fighting|Cooperative Game,Deck, Bag, and Pool Building,Dice Rolling,Hand Management,Move Through Deck,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Variable Player Powers|133038|1|4|90|90|90|13|2.7131
칸반: 오토모티브 레볼루션|Kanban: Driver's Edition|2014|wys2/swf_upload/2022/01/12/1641922611742042_lg_N_80x80_100_5_.png|7.265|8.04|Strategy Games|Economic,Industry / Manufacturing|Action Points,Commodity Speculation,Variable Phase Order,Worker Placement|109276|2|4|120|90|120|12|4.3619
이스탄불|Istanbul|2014|wys2/swf_upload/2022/01/12/1641922666221460_lg_N_80x80_100_5_.jpg|7.198|7.47|Strategy Games|Economic|Contracts,Dice Rolling,Grid Movement,Modular Board,Network and Route Building,Pick-up and Deliver,Race,Variable Set-up,Worker Placement|148949|2|5|60|40|60|10|2.5845
기도하고 일하라|Ora et Labora|2011|wys2/swf_upload/2022/01/12/1641922743145808_lg_N_80x80_100_5_.png|7.241|7.96|Strategy Games|City Building,Economic,Industry / Manufacturing,Medieval,Religious,Territory Building|Increase Value of Unchosen Resources,Modular Board,Network and Route Building,Worker Placement,Worker Placement, Different Worker Types|70149|1|4|180|60|180|13|3.8906
매직 더 개더링|Magic: The Gathering|1993|wys2/swf_upload/2022/01/12/1641922785089306_lg_N_80x80_100_5_.jpg|7.249|8.11|Customizable Games|Card Game,Collectible Components,Fantasy,Fighting|Betting and Bluffing,Closed Drafting,Deck Construction,Hand Management,Interrupts,Player Elimination,Take That|463|2|2|20|20|20|13|3.236
스몰 월드|Small World|2009|wys2/swf_upload/2022/01/25/1643048159622218_lg_N_80x80_100_5_.jpg|7.225|7.46|Strategy Games|Fantasy,Fighting,Territory Building|Area Majority / Influence,Area Movement,Auction: Dutch Priority,Dice Rolling,Hidden Victory Points,Increase Value of Unchosen Resources,Variable Player Powers,Variable Set-up,Victory Points as a Resource|40692|2|5|80|40|80|8|2.3529
한밤의 늑대인간|One Night Ultimate Werewolf|2014|wys2/swf_upload/2022/01/31/1643577984726039_lg_N_80x80_100_5_.jpg|7.200|7.36|Party Games|Bluffing,Card Game,Deduction,Horror,Party Game|Hidden Roles,Role Playing,Roles with Asymmetric Information,Traitor Game,Variable Player Powers,Voting|147949|3|10|10|10|10|8|1.3814
마닐라|Manila|2005|wys2/swf_upload/2022/01/29/1643440969431353_lg_N_80x80_100_5_.jpg|7.237|7.45|Family Games|Nautical,Pirates,Transportation|Auction/Bidding,Auction: Turn Order Until Pass,Betting and Bluffing,Commodity Speculation,Dice Rolling,Loans,Worker Placement|15817|3|5|60|60|60|10|2.0321
블러드 레이지|Blood Rage|2015|data/boardgame_strategy/2021/03/18/1616024679-354768_N_80x80_100_5_.png|7.204|7.54|Strategy Games|Fantasy,Fighting,Miniatures,Mythology|Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Closed Drafting,Hand Management,Map Reduction,Memory,Open Drafting,Simultaneous Action Selection|170216|2|4|90|60|90|14|2.8805
